Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,Harm Score,Divestment (Y/N),Annual Revenues (Mn) - original,Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,description,Thumbnails,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other ,Tags
1st Advanced EMS,Y,OH,78,2004,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Ambulance Services,,,,,,,,,,,,,,logo-1st-advanced.svg (https://dl.airtable.com/.attachments/af18cb04f34bfb6db1df77a0db105e19/523e46b9/logo-1st-advanced.svg),http://1stadvems.com/,OH DRC Spending,,,,https://procure.ohio.gov///conamendment/ot900712_PDF_021.pdf,
1st Choice Restaurant Equipment & Supply,Y,TX,,1971,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://www.1stchoiceres.com/,TDCJ Spending,,,,https://govtribe.com/vendors/1st-choice-restaurant-equipment-supply-llc-4v9g6,
2 K General,Y,OH,40,1999,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,$6.0,$6.00,2018,,,,,,http://www.2kgeneral.com/,http://www.2kgeneral.com/portfolio/,,,PrivCo (www.privco.com),http://www.2kgeneral.com/portfolio-items/scioto-juvenile-correctional-facility/,
316 VanGo,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,,,,,,,,,,checked,,,,,http://www.316transportationservice.com/,See website,,,,,
360 IT Integrated Solutions,Y,VA,,,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,checked,,,,,,,,,,,,http://360itis.com/Solutions/default.html,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,,,
3DA Display,Y,MI,,2008,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,,,,,,,,,https://www.3dadisplay.com/,https://www.nationalcia.org/corporate-members,,See corrections source,,,
3M,Y,MN,93516,1902,,Mike Roman,,,MMM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),Equipment,"Furnishings, Supplies, & Other Facility Equipment",,checked,13,checked,"$32,136.0","$32,136.00",2019,,,Sold off its electronic monitoring businessfor $200 M and identity management business for $850 M in 2017; Sold off Ballistic Protection Business for $91.0MM to Avon Rubber PLC Jan 2020,,,https://www.3m.com/3M/en_US/company-us/,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,FactSet,http://news.3m.com/press-release/company-english/3m-sell-its-electronic-monitoring-business-transportation-safety-divis,
3S Sports & Tactical Gear,Y,VA,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://www.3stactical.com/,See website,,,,,
3Wire Group,Y,MN,205,2001,2008,,,Berkshire Hathaway,BRK.A,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,7,,,,,,,Acquired by Berkshire Hathaway in 2007 as part of Marmon for $4.5 B; Parts Town acquired foodservice parts distribution and field service businss assets of 3Wire Group May 2018,,,https://www.3wire.com/,TDCJ Spending,,,,https://dealbook.nytimes.com/2007/12/25/buffett-to-buy-marmon-from-pritzker-family/,
4 Star Hose & Supply,Y,TX,70,1983,2019,Sam Petillo,AEA Investors,SBP Holdings/Singer Equities,,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,7,,,,,,,Acquired by Singer Equities in 2019,,,http://www.4starhose.com/,TDCJ Spending,,See corrections source,,https://www.inddist.com/mergers-acquisitions/news/13777809/singer-equities-acquires-4star-hose-supply,
4Bike-Police,Y,AR,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,checked,,,,,http://www.4bike-police.com/,See website,,,,,
5.11 (Tactical),Y,CA,550,2003,2016,,,"Compass Group, The",CODI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,,,,,14,checked,$310.0,$310.00,2018,,,Acquired by Compass Group in 2016,,,http://www.511tactical.com,http://www.511tactical.com/public-safety/law-enforcement.html,,,PrivCo (www.privco.com),https://www.compassequity.com/companies/5-11-tactical/,
555 International,Y,IL,150,1987,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$39.0,$39.00,2018,,,,,,http://www.555.com/,See New Star Lighting,,,PrivCo (www.privco.com),https://newstarlighting.com/applications/correctional/,
7th Ave Roastery,Y,OK,,2011,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,https://7thaveroastery.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004005-T.pdf,,,,,
A & D Water Systems,Y,FL,,1994,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.adwatersystems.com/,https://facts.fldfs.com/Search/AdvancedSearchResult.aspx,,,,,
A & E Low Vision Products,Y,CA,,2003,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://aelowvision.com/,California Spending Data - 2018,,,,,
A C Staffing,Y,FL,,2004,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Personnel,Third Party Staffing,,,,,,,,,,,,,http://www.ac-healthcare.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,,,,,
A Fresh Start Emergency Network,Y,MO,,1998,,Wilma R. Williams,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Utility/Energy,,,,,,,,,,,,,,,http://www.afeenapetroleum.com,http://correctionsmarketplace.com/,,,,https://www.bbb.org/stlouis/business-reviews/oil-marketing/a-fresh-start-emergency-network-llc-in-saint-louis-mo-310021091,
A To Z Prison Service,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,,,,,,,,,,checked,,,,,http://atozprisonservice.com/,See website,,,,,
A Tovar Termite & Pest Control,Y,CA,,1993,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,https://atovarpestcontrol.com/,California Spending Data - 2018,,,,http://www.tovarpest.com/press-testimonials/,
A&D Automatic Gate and Access,Y,CA,,1976,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.adautogate.com/,http://correctionsmarketplace.com/,,,,,
A&S Builders,Y,TX,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,,,,,,,,http://correctionsmarketplace.com/,,,,,
A&S Commissaries,Y,GA,,,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,,,,,,,,,,checked,,,,,,http://correctionsmarketplace.com/,,,,https://www.manta.com/c/mmjg8d3/a-s-commissaries,
A. Rifkin Company,Y,PA,110,1892,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$29.0,$29.00,2018,,,,,,https://www.arifkin.com/,http://correctionsmarketplace.com/,,,PrivCo (www.privco.com),,
A.D.A.P.T.,Y,ND,,2001,,Perry Smith,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,Community Corrections,Outpatient Programs,,,,,,,,checked,,,,,http://adaptincnd.com/,See website,http://adaptincnd.com/electronic-monitoring-gps-tracking/,,,,
A+ Security,Y,AK,,1999,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,,,,,,,,,https://aplussecurity.com/,http://correctionsmarketplace.com/,,,,,
A+ Technology & Security Solutions,Y,NY,,1989,,David Antar,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,,,,,,,,,https://aplustechnology.com/,https://aplustechnology.com/industries/law-enforcement.php,,,,,
A1 Consulting Group (formerly NFE Technologies),N,NC,,1971,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Construction & Maintenance,Architecture & Engineerging,,,,,,,,,,,,,http://a1consultinggroup.com,http://a1consultinggroup.com/prisons-correctional-facility/,,,,https://a1consultinggroup.com/clients/,
A-1 Fire And Safety Equipment,Y,TX,15,1971,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://www.a-1fireandsafety.com/,TDCJ Spending,,,,,
A-1 Property Services Group,Y,FL,60,2006,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,$11.3,$11.30,2018,,,,,,http://www.a1propertyservices.net/,http://www.dc.state.fl.us/business/contracts/,,,PrivCo (www.privco.com),,
A2Z Supply,Y,MT,,2007,,Brian Hoornbeek,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,checked,,,,,,,,,,,,https://www.a2zgovsupply.com/,,GovSpend,,,https://www.fpds.gov/ezsearch/fpdsportal?q=small+arms&s=FPDS&templateName=1.4.4&indexName=awardfull&x=21&y=9&sortBy=SIGNED_DATE&desc=Y&start=30,
AAA Wholesale,Y,CA,,,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Equipment,,,,,,,,,,,,,,,https://www.aaawholesalecompany.com/,California Spending Data - 2018,,,,,
A-Able Septic Sewer Service,Y,FL,,1981,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.a-ableseptic.com/,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=DO2595753,,,,https://www.a-ableseptic.com/about-us/,
AAdvantage Laundry Systems,Y,TX,,1965,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.aadvantagelaundry.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003688-T.pdf,,,,https://americanlaundrynews.com/articles/aadvantage-laundry-systems-joins-forces-scott-equipment-skyline-equipment,
Aardvark Tactical,Y,CA,30,2018,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,checked,,,,$15.9,$15.90,2018,,,,,,https://www.aardvarktactical.com/,,GovSpend,,PrivCo (www.privco.com),https://www.aardvarktactical.com/products/instantaneous-blast-grenade,
A-B Emblem,Y,NC,71,1951,,Benhard Conrad,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://www.abemblem.com/,https://www.abemblem.com/serves/gov/,,,,,
AB Staffing Solutions,Y,AZ,870,2002,,Evan Burks,,,,Tier 4 - Small Privately-Owned,Healthcare,Staff Management Systems,,,,,,,$79.0,$79.00,2018,,,,,,http://www.abstaffing.com/,https://www.abstaffing.com/jobs/corrections-registered-nurse/,,,PrivCo (www.privco.com),,
Abatement Technologies,Y,GA,,1985,,Andrew Harber,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.abatement.com/,https://aja.multiview.com/,,,,,
ABB Group,Y,Switzerland,147000,1988,,Peter Voser,,,ABB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,7,,"$27,978.0","$27,978.00",2019,,,,,,https://new.abb.com/,See Thomas & Betts,,,FactSet,,
Abbott Laboratories,Y,IL,103000,1888,,Miles D. White,,,ABT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Other,,,,,9,,"$31,904.0","$31,904.00",2019,,,,,,http://www.abbott.com/,See Alere,,,FactSet,https://www.genomeweb.com/business-news/abbott-completes-alere-acquisition#.WrrwhYjwY2w,
ABC Bus Companies (formerly Fairbault Bus Company),Y,MN,600,1772,,,,"ABC Companies, Inc",,Tier 4 - Small Privately-Owned,Transportation,Prison Transportation,,,,,,,$514.0,$514.00,2018,,,,,,http://www.abc-companies.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,PrivCo (www.privco.com),,
ABC Ventures,Y,CA,,,,Adam Cingeman,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,,,,,,,http://abcvllc.com/,California Spending Data - 2018,,,,,
Abel Unlimited (dba Lornwear),Y,FL,,1991,,Marvin Maltz,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,https://ironwear.com/,TDCJ Spending,,,,,
Abilis Solutions,Y,Canada,200,1996,,Eric Le Goff,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,Corrections Data Systems,,,,,,,,,,,,,,,https://www.abilis-solutions.com/,See Coris,,,,https://www.abilis-solutions.com/news/abilis-solutions-recognized-as-one-of-canadas-top-small-medium-employers-2017/,
AbiMar Foods,Y,TX,320,1992,2010,,,Grupo Nutresa,NUTRESA-CO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,,,,,8,,$190.0,$190.00,2018,,,Acquired by Grupe Nutresa in 2010,,,http://www.abimarfoods.com/,TDCJ Spending,,,PrivCo (www.privco.com),http://developabilene.com/news/single/abimar-foods,
ABL Management,N,LA,950,1986,2015,,,Elior Group,ELIOR-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,,,,checked,9,,$57.3,$57.30,2015,checked,,Acquired by Elior Group in 2015,,,http://www.ablmanagement.com/,See website,,https://www.indeed.com/cmp/Abl-Management/reviews?fcountry=ALL,PrivCo (www.privco.com),https://www.eliorgroup.com/press/press-releases/elior-group-acquires-abl-management-us-corrections-and-higher-education-dining,
Able Office Solutions (dba Able Ribbon Tech),Y,CA,,1987,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,,,,,,,,,,,http://ableribbon.com/,California Spending Data - 2018,,,,,
Ablegov,Y,CA,,2008,,Lonny Harris,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,,,,,,,,,,,,,http://www.ablegov.com/,California Spending Data - 2018,,,,,
ABM Industries ,Y,NY,140000,1909,,Scott Salmirs,,,ABM,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,,,checked,,9,,"$6,498.6","$6,498.60",2019,,,,,,https://www.abm.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,FactSet,,
Abner Henry Fine Furniture,Y,OH,,1918,,Ivan Keim,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,,,,,,,,,https://abnerhenry.com/,https://www.nationalcia.org/corporate-members,,See corrections source,,,
Abode Treatment,Y,TX,,1994,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Substance Abuse Treatment,Community Corrections,Residential Programs,,,,,,,,,,,,,http://abodetreatment.com/abodewp/,http://abodetreatment.com/abodewp/?page_id=13,,,,http://abodetreatment.com/abodewp/?page_id=101,
Abraxas Youth & Family Services,Y,PA,,1973,2010,,,"GEO Group, The",GEO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,Private Prison Operator,Community Corrections,Residential Programs,,,15,checked,,,,checked,,Acquired by GEO as part of Cornell Companies in 2010,,,http://www.abraxasyfs.com/,See website,,,,https://www.businesswire.com/news/home/20100419006086/en/GEO-Group-Cornell-Companies-Announce-685-Million,
Abundance Living,Y,TX,,2006,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Substance Abuse Treatment,,,,,,,,,,,,,,,http://ablivinginc.org/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,,,,https://greatnonprofits.org/org/abundance-living-inc,
AC Furniture,Y,VA,475,1977,,Kennon G. Robertson,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,$123.5,$123.50,2018,,,,,,http://www.acfurniture.com/,https://www.nationalcia.org/corporate-members,,See corrections source,http://www.buzzfile.com/business/Acf-276-650-3356,,
A-C Nutrition,Y,TX,95,1961,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$44.0,$44.00,2018,,,,,,http://acnutrition.com/,TDCJ Spending,,,PrivCo (www.privco.com),https://files.usaspending.gov/agency_submissions/Raw%20Quarterly%20DATA%20Act%20Files/2018/Q2/012%20-%20Department%20of%20Agriculture%20(USDA)/File_C_award_financial_USDA_2018Q2.txt,
Acadia Healthcare,Y,TN,40600,2005,,Debra K. Osteen,,,ACHC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Substance Abuse Treatment,Community Corrections,Residential Programs,,,12,checked,"$3,107.5","$3,107.50",2019,,,Acquired by Centene in 2013 for $152 M; Engages in part through subsidiary Foundation Care,,,http://www.acadiahealthcare.com/,See CRC Healthcare,,,FactSet,https://doc.wi.gov/Documents/AboutDOC/PressReleases/180222OpioidTreatmentProgram.pdf,
AcariaHealth (Specialty Therapeutic Holdings),Y,FL,,2010,2013,,,Centene,CNC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,,,,,12,checked,,,,,,Acquired by Centene in 2013 for $152 M; Engages in part through subsidiary Foundation Care,,,https://acariahealth.envolvehealth.com/,https://www.buzzfeed.com/chrismcdaniel/missouri-executed-17-men-with-drugs-from-a-high-risk?utm_term=.ddxxdx0L#.puajPjA3,,,https://www.prnewswire.com/news-releases/centene-to-acquire-specialty-pharmacy-leader-acariahealth-186767021.html,,
Accenture,Y,PA,482000,1951,,Julie Sweet,,,ACN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,,,checked,,8,,"$43,215.0","$43,215.00",2019,,,,,,https://www.accenture.com/,https://www.accenture.com/us-en/insight-public-safety-innovation-speed,https://abcnews.go.com/ABC_Univision/Politics/15-companies-profit-border-security/story?id=18957304,,FactSet,https://www.majorcitieschiefs.com/sponsors.php,
Access Corrections,Y,MO,,2007,,,HIG Capital,TKC Holdings,,Tier 2 - Investment Firm-Owned,Financial Services,Money Transfers,,,checked,checked,12,checked,,,,checked,,Product brand,,,https://www.accesscorrections.com/,See website,https://ica-farmville.com/?page_id=213,See Keefe Group,,,
Access Securepak,Y,MO,,1975,,,HIG Capital,TKC Holdings,,Tier 2 - Investment Firm-Owned,Food & Commissary,Care Packages,,,,,12,checked,,,,checked,,Product brand,,,https://www.accesscatalog.com/,See website,,,,,
Access Therapies,Y,IN,,2005,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Personnel,Third Party Staffing,,,,,,,,,,,,,http://www.accesstherapies.com/,http://www.accesstherapies.com/about.aspx,,,,,
Acco Engineered Systems,Y,CA,3000,1934,,John Aversano,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,,,,,,,$944.0,$944.00,2018,,,,,,http://www.accoes.com/,California Spending Data - 2018,,,PrivCo (www.privco.com),,
Accredited Lock Supply,Y,NJ,,1974,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,,,,,,,http://www.acclock.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004014-T.pdf,,,,,
Accredo Health Group,Y,TN,2491,1996,2012,,,Cigna,CI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,,,,,7,,"$1,516.9","$1,516.90",2004,,,Acquired by Express Scripts as part of Medco in 2012 for $29 B,,,http://www.accredo.com/,http://www.accredo.com/hipaa,,,https://www.sec.gov/Archives/edgar/data/1068887/000095014405006879/g95991e10vkza.htm#010,https://dealbook.nytimes.com/2011/07/21/express-scripts-to-buy-medco-for-29-billion/,
Accruent,Y,TX,844,1995,2018,,,Fortive,FTV,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Other,Construction & Maintenance,"Procurement, Contracting, & Other Admin Services",,,8,,$270.0,$270.00,2018,,,Acquired by Fortive in 2018,,,https://www.accruent.com/,OH DRC Spending,,,PrivCo (www.privco.com),https://www.gencap.com/genstar-capital-announces-agreement-to-sell-accruent-to-fortive-corporation-for-2-0-billion-in-cash/,
AccuGov,Y,CA,5,2010,,Jim Pagluica,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$1.0,$1.00,2018,,,,,,https://accugovsales.com/,California Spending Data - 2018,,,PrivCo (www.privco.com),,
Accura Electrical Contractor,Y,FL,,1990,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Utility/Energy,,,,,,,,,,,,,,,http://accuraelectrical.com/,FL DOC Spending,,,,,
Accura Engineering and Consulting Services,Y,GA,,2003,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,checked,,,,,,,,,,,,https://www.accuraengineering.com/,FBOP Spending,,,,https://accuraengineering.com/what-we-do/federal/,
Accurate Controls,Y,WI,70,1982,,Thomas Rogers,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,$21.0,$21.00,2018,checked,,,,,http://www.accuratecontrols.com/,See website,,,PrivCo (www.privco.com),,
Accurate Septic Services,Y,FL,,1998,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,,,http://www.accuratesepticservices.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,,,,,
Accurate Trace,Y,NJ,,2016,,Emanual G. Scharon,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,,,,,,,,,,checked,,,,,https://accuratetrace.com,See website,,,,,
Ace Automatics (dba Manhill Food Service),Y,NY,,1946,,Jack Hilimire,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Vending Machines,,,,,,,,,,,,,,,http://www.manhillfoodservice.com/,NYS DOCCS Spending,,,,,
ACE Binding (dba AllStitch Embroidery Supplies),Y,MD,,1941,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,,,,,,,http://www.acebinding.com/,http://ajaproductserviceresource.com/,,,,,
ACE Hardware,Y,IL,5456,1924,,John Venhuizen,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,"$5,717.0","$5,717.00",2018,,,,,,www.acehardware.com,http://www.dc.state.fl.us/business/contracts/,,,PrivCo (www.privco.com),,
Ace Mart Restaurant Supply Co,Y,TX,380,1975,,Jerry Higgins,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$130.2,$130.20,2018,,,,,,https://www.acemart.com/,TDCJ Spending,,,PrivCo (www.privco.com),,
Ace Parking Management ,Y,CA,5400,1950,,John Baumgardner,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Operations & Management,"Procurement, Contracting, & Other Admin Services",,,checked,,,,$720.0,$720.00,2018,,,,,,https://aceparking.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),,
Ace Rubber Products,Y,TX,,1988,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,,,,,,,http://www.acerubberproducts.com/index.html,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,,,,,
Acelity (formerly Kinetic Concepts),Y,TX,4700,1976,2019,,,3M,MMM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,,,,,8,,"$1,468.0","$1,468.00",2018,,,Acquired by 3M in 2019,,,http://www.acelity.com/home,https://facts.fldfs.com/Search/ContractDetail.aspx?AgencyId=700000&ContractId=C2617&Tab=1,,,https://www.sec.gov/Archives/edgar/data/1557939/000155793916000077/a201510k.htm#sCF746C6E59035C50961BBBCB9A3DB15F,https://www.massdevice.com/private-equity-owners-rebrand-kci-systagenix-lifecell-acelity/,
ACI Commercial Roofers,Y,IL,,1984,,Brian Brookheart,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Construction & Maintenance,Maintenance Services,,,,,,,,,,,,,http://www.acicr.com/Index.html,http://correctionsmarketplace.com/,,,,,
ACI Worldwide,Y,FL,4500,1975,,Odilon Almeida,,,ACIW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Agency Payment Processing,,,,,10,,"$1,258.3","$1,258.30",2019,,,,,,https://www.aciworldwide.com/,See Official Payments Corp,,,FactSet,https://www.aciworldwide.com/news-and-events/press-releases/2013/november/aci-worldwide-completes-acquisition-of-official-payments,
Acivilate,Y,GA,,2014,,Louise Wasilewski,,,,Tier 4 - Small Privately-Owned,Community Corrections,"Probation, Parole, & Other Supervision",,,,,,,,,,checked,,,,,http://acivilate.com/,See website,,,,,
Acorn Engineering,Y,CA,1400,1954,,,,Morris Group International ,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$440.0,$440.00,2018,,,,,,https://www.acorneng.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,PrivCo (www.privco.com),,
ACS Corrections of Texas,Y,OK,80,2006,,,,CoreCivic,CXW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Residential Programs,,,,,13,checked,,,,checked,,,,,https://www.bop.gov/locations/rrc/?contract=DJB200272,https://www.bop.gov/business/rrc_directory.jsp,,,,https://www.sec.gov/Archives/edgar/data/1070985/000119312517053982/d310578dex211.htm,
ACS Group (American CyberSystems),Y,GA,12250,1998,,Raj Sardana,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,Security Technology,,,,,,,$750.0,$750.00,2018,,,,,,http://www.acsicorp.com/acs-your-true-partner,See Analysts,,,PrivCo (www.privco.com),,
Actall,Y,CO,35,1991,,Bob Hampe,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,Equipment,Security Technology,,,,,,,,,,,,,https://www.actall.net,https://s23.a2zinc.net/clients/aja/aja2018/public/exhibitors.aspx,,,,,
Activar,Y,MN,520,1947,,Richard Namara,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,$75.0,$75.00,2018,,,,,,http://www.activarcpg.com/,See Air Louvers,,,PrivCo (www.privco.com),,
ActiveLED,Y,TX,,2007,,,,Network Technology/Ringdale,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,checked,,,,,,,,Product brand,,,http://activeled.com/,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,,,
